# freq,|S21|,Phase
5.440000000000000000e+07,9.697289999999999521e-01,5.451489999999999725e+01
5.455000000000000000e+07,9.706989999999999785e-01,5.426030000000000086e+01
5.470000000000000000e+07,9.687270000000000048e-01,5.420060000000000144e+01
5.485000000000000000e+07,9.680549999999999988e-01,5.400469999999999970e+01
5.500000000000000000e+07,9.702769999999999451e-01,5.383740000000000236e+01
5.515000000000000000e+07,9.690060000000000340e-01,5.372699999999999676e+01
5.530000000000000000e+07,9.685700000000000420e-01,5.353430000000000177e+01
5.545000000000000000e+07,9.693990000000000107e-01,5.335909999999999798e+01
5.560000000000000000e+07,9.688200000000000145e-01,5.330060000000000286e+01
5.575000000000000000e+07,9.717449999999999699e-01,5.319519999999999982e+01
5.590000000000000000e+07,9.689069999999999627e-01,5.297050000000000125e+01
5.605000000000000000e+07,9.692359999999999864e-01,5.290789999999999793e+01
5.620000000000000000e+07,9.696510000000000407e-01,5.277689999999999770e+01
5.635000000000000000e+07,9.704129999999999701e-01,5.253020000000000067e+01
5.650000000000000000e+07,9.701319999999999943e-01,5.248299999999999699e+01
5.665000000000000000e+07,9.705080000000000373e-01,5.234759999999999991e+01
5.680000000000000000e+07,9.702039999999999553e-01,5.217360000000000042e+01
5.695000000000000000e+07,9.711170000000000080e-01,5.203070000000000306e+01
5.710000000000000000e+07,9.719579999999999886e-01,5.201899999999999835e+01
5.725000000000000000e+07,9.725719999999999921e-01,5.187590000000000146e+01
5.740000000000000000e+07,9.702190000000000536e-01,5.163870000000000005e+01
5.755000000000000000e+07,9.696409999999999751e-01,5.150900000000000034e+01
5.770000000000000000e+07,9.703530000000000211e-01,5.138150000000000261e+01
5.785000000000000000e+07,9.712119999999999642e-01,5.126290000000000191e+01
5.800000000000000000e+07,9.707759999999999723e-01,5.110940000000000083e+01
5.815000000000000000e+07,9.685080000000000355e-01,5.099660000000000082e+01
5.830000000000000000e+07,9.688639999999999475e-01,5.083729999999999905e+01
5.845000000000000000e+07,9.706380000000000008e-01,5.077879999999999683e+01
5.860000000000000000e+07,9.702600000000000113e-01,5.056830000000000069e+01
5.875000000000000000e+07,9.701650000000000551e-01,5.045349999999999824e+01
5.890000000000000000e+07,9.696000000000000174e-01,5.038490000000000180e+01
5.905000000000000000e+07,9.701379999999999448e-01,5.022200000000000131e+01
5.920000000000000000e+07,9.718029999999999724e-01,5.006260000000000332e+01
5.935000000000000000e+07,9.686179999999999790e-01,5.002850000000000108e+01
5.950000000000000000e+07,9.682039999999999536e-01,4.983829999999999671e+01
5.965000000000000000e+07,9.712450000000000250e-01,4.976129999999999853e+01
5.980000000000000000e+07,9.700760000000000494e-01,4.962859999999999872e+01
5.995000000000000000e+07,9.703349999999999476e-01,4.945499999999999829e+01
